Alpha	ABCDEFGHIJKLMNOPQRSTUVWXYZ
Alfa	ZGYUAQNBRVHFOTIXEDKSWCMLPJ
Aleph	ZEROYUDKFMAHINGXPQWVCJBSTL
Alef	PCNJXDOTSMULABYWFRKVZEGQHI
Alepha	OKLGYCPVTHNWXBZAMURDJFIQES
Alefa	JEYBWFAMSDZIPHRTVONQXKULGC
Beta	BACDEFGHIJKLMNOPQRSTUVWXYZ
Bayta	LKEJVSQFYWPHMTUZIROXBGADNC
Beeta	CYXTPFRKZEQULJBWGVIHDSNOAM
Baeta	IGFTVKRLHCPJNBSDWAZMXOQUYE
Baita	VDTIGEFAJQLRUHMBOPYKWXZCSN
Beata	EYSMXBNDFPQGRJVHLCITKOUWAZ
Charlie	CABDEFGHIJKLMNOPQRSTUVWXYZ
Charly	TPYVCKERJIGHSNOWAZMXUFBDQL
Charlee	FWEDKIYARTQUGSHJPONBCZLMVX
Sharlie	QTNEIHPYZLOKBGWRAUXFDJSVMC
Sharly	EIFWGZBUYKQVNXHPLSDAOJRMTC
Sharlee	QPEKJTZSYDACXRVHOLFIGMWBUN
Delta	DABCFGHIJKLMOPQSTVWXYZRUNE
Daleta	RIVEXPQJTMOFGZYCDUAHLKNBWS
Dellta	COMPUTERJADYGIQHWVZKNFBXLS
Dwellta	CAVERDNWTBULPFIYGHJXOSMKZQ
Dealta	CARDSBPOVKHGEZJQYLUNWTFIXM
Deelta	KVGPIUOJALFZBXNDWHTSCYMQRE
Echo	EABCDFGHIJKLMNOPQRSTUVWXZY
Ecko	QKJABUZDPYTWXERSCOFNMVGHLI
Eco	VEZYSRTBUMQDAFILGCKHXWJOPN
Ecco	AQMXNLIVCGKHTBWEROFUZSJPDY
Gecko	RMGKAJCLOPWDEZXTNIYQUFBSHV
Eggo	HLCWQUOTZEAKFRVMYBPNIDXSJG
Foxtrot	FABCDEGHIKJLMNPOQRSTUVWXYZ
Fockstrot	TRWSALEFODGPQHNBKVJIYXMCUZ
Flockstrot	PMBWKCGXRHLJNVIEAQUSDFYOZT
Foxstrut	YGDCZPBQWMSENXLRATHVKFUIJO
Foxstep	DMIPGVUZJAYWFERHBLSNKCOXTQ
Flockstep	BIRDSVQEAHMLGZNOFJKWTXUYPC
Golf	FABCDGJKMPQRSTUVWZYXHOLEIN
Gulf	DHZVRPWUAOCGFXQNEKYLSTBIMJ
Golph	MWGSJCEXPRTLQBIKFDVUHNZAYO
Gulph	JTIQMOLHZKPRWSACEYXFNGBDVU
Goff	PIMJOQADNLKCGVWZTSRFXHBYUE
Guff	HTEKWOFUZMAQSGJVLIBXDPYNCR
Hotel	HBCDEFGJKLNPQSTUVWXYZMARIO
Hotell	MHALOGSNWQTZXDPURBEKYJFIVC
Hotale	GIWROCBKNTDZVEXMPFJHLUSQAY
Hoetell	GAYTSIQEDXKBZJLWFRNHPOCMVU
Wholetale	BCSPUTLJAYDMIFQOXHNZRVKEWG
Holetel	TWJPADMOCFKSLZQXYREUVGNBHI
India	IABCDEFGHJKLMNOPQRSTUVXWYZ
Inndia	SNOWGLZDIUFETAKCMXQRBHVJYP
Indya	RNXSTOAFLHJUDIEWMZVPBCYGKQ
Inndya	CXPEOUFJKAZDSHVBQIRLMGWNYT
Indeer	RUDOLPHGVCKFXNYISMEBQZTAWJ
Indear	JOHNECLYDPKMUTAXGZSRBQIVWF
Juliett	JABCDEFGHIKLMNOPQRSTZYXWVU
Juliette	QVOXSHZIJFAGYNWTDCLEKPUMRB
Julette	UOJFBLYTNHPCSKWRZIQAMEVGXD
Jouleliett	RQMZXOWKEIACPSGLYDTUVFJNBH
Jouleliette	YBKVEGHWOXMIPFQUATNDCJLSRZ
Joulelette	VECMDGLUPSXKAIYTQHBNFJZWRO
Kilo	KZABCDEFGHIJLMNOPQRSTUVWXY
Keylo	OGQSDUJPCBFITMVEXZWHALNRYK
Kilow	MVAHCJITQLSDKYZNXERWFBPGUO
Keylow	SWVXMKTCNZYAUPGFIQOEDLBHRJ
Kielo	RMNFZHXKGASWIQBPUVJCEODTYL
Kylo	BRZMTIXNJGHYSDLAWVPKQUEOCF
Lima	LABCDEFGHIJZKMNOPQRSTUVWYX
Leema	YJBUOZNHTDKQGMIEVCAPFSLXRW
Lema	OBWDYNMEIVSPAKFJRLZHUTCXGQ
Lemma	FYKRVLPCIADXMNWBEQZHTGUJOS
Leemma	XMVCWUIKEROBJADTZFGPSNQHYL
Limma	SEICHKNUJPDMFROYAVTZWGQBXL
Mike	MABCDEFGHIJKLNOPQRSTUVWXYZ
Mic	DRXPWQFUMZCLGHESOVTJNYBKAI
Myke	ADBUTXYKGPRCZEJVWOMINSQFHL
Mice	HKPLZXCSYQAIVMJBREUDWTFGNO
Mythe	NYWCTRUGKBLZFIVSAJHQMPXDOE
Mite	RFMWKPYZJOCTXDABELGHIUVSNQ
November	NABCDEFGHIJKLMOPQRSTUVWYZX
Nomember	NABCDEFGHIKJLMOPQRSTUVWYZX
Nobemver	NABCDEFGHIJKLMOQPRSTUVWYZX
Nofember	NABCDFEGHIJKLMOPQRSTUVWYZX
Nobemfer	NABCDEFGHIJKLMOPQRTSUVWYZX
Nobemmer	NABCDEFHGIJKLMOPQRSTUVWYZX
Oscar	OABCDEFGHIJKLMNPQRSTUVWXYZ
Oskar	XLEQKGDUTYMSVWNACHFIOBPZRJ
Ozcar	EGRNFBUXCAOQHSYWKZLPMJVIDT
Ozkar	FAUEONWGRTSBMLICVZJKDQPHXY
Ozscar	JRAEZTONMWYDFQBGPXVSLUCHKI
Ozzy Osbourne	KABULDNGEHIYRVTQOCJZWMXPFS
Papa	PABCDEFGHIJKLMNOQRSTUVWXYZ
Parpa	QDVOTJPSRGKIUBCYALEXWHMFNZ
Papar	ADWIPFZVEUTBQRGMJLNYXKOSHC
Parpar	EJPKCVHIGQDULWAXZYTSMBRFNO
Pappa	YZCLURENJWIMODSXHTAQGKVBFP
Pappar	XMIQGSEVFOUCDNLBYJWAZPTRHK
Quebec	QABCDEFGHIJKLMNOPRSTUVWXYZ
Cuebec	WMSCHPZEATVKOLBYNUIFDRGJXQ
Queuebec	YVIZSWLAQXJNMGTURBOFCHEDPK
Quibec	LOERBGTAHDXIZPQKVCMJNSFUWY
Quirkbec	FKXASWZVQBTEYMDCIRNGOUPLJH
Kwerebec	OGIYLNRPXTSWEFAUHDCMVZKBQJ
Romeo	RABCDEFGHIJKLMNOPQSTUVWXYZ
Romio	QLIUMTOKBRFZESDHJNGVPYAXWC
Roomeo	UXIBFKJMDCOLSGVYQETPHRZNAW
Rodeo	ALSZHOCNQFPXWKUMBTEIGRJYDV
Rolemeo	BIWTDERLHXFVMGPUNZYSJKQOCA
Rollmeo	YHUZMPABWTGREIDKLNSOVXCQFJ
Seirra	SABCDEFGHIJKLMNOPQRTUVWXYZ
Sierra	AZVNWLCYKRGTMEPDSHUQJXOBFI
Seeara	FCHJDUNPVZXSQOIBRAMTKWYLGE
Seaara	KZECIQGVRANOBWSJLFDYTMPXUH
Tierra	STABCDEFGHIJKLMNOPQRUVWXYZ
T-ARA	QRIMDUZHCKJBTLYVNGAWXOESFP
Tango	TEKABCDFGHIJLMNOPQRSUVWXYZ
Tankgo	OGBPAWTDJQIHVNYZSEXMCLUFKR
Tongo	BJKTDEWVPOZRIAGYUQSCLFMNHX
Tanga	PGXSCKTOBVRQIYNEWMJALHDUZF
Taiga	YVXMGARCOJHPNLQKUEZDFITBWS
Tangle	EVPTSZKCQRWMHULDAYOBJFNXGI
Uniform	UABCDEFGHIJKLMNOPQRSTVWXYZ
Unifrom	FQTBLXIJCSOUMEKZVPANGWHYRD
Unifoam	ZNFQGOTIAHYCSPXLWRDEKVJBUM
Youniform	EVAZCJODNFBQUKXYTLGHSIPRWM
Unitform	OVRQBPTHSWJMGLXDYUNFZAKIEC
Uniqueform	LWCUQHNODSMVEXAITYJZFBRGPK
Victor	VACBNDEFGHIJKLMOPQRSTUWZXY
Vector	LINEWQFCKAPGBTZDRVOXYJMUHS
Wicktor	UGYJAIBWMVLXNOTFQPEKSZHRDC
Vicster	DNFUCOYXPVSRKGTQJLHMBEWIAZ
Vicktor	BHNLKRUTCJXWOIDZSEGMYQVAPF
Vaccines	VAXDHKIQGMCEPJYOLSNWBFURTZ
Whisky	WABCDEFGHIJKLMNOPQRXYZSTUV
Risky	RABCDEFGHIJKLMNOPQWXYZSTUV
Withsky	YZBEIDXFWQGMNOJLUHPVKRCTSA
Wisky	CYFJQKALIBMWNDOGXPHVRUSTEZ
Discy	JFLMZHBCWURGAIDPYKXOEVSQNT
Frisky	XLRJSPUFMOTZQWKEYDBIHNAGVC
X-ray	XABCDEFGHIJKLMNOZQRSTUYWVP
Ex-ray	FUAMPNCDIVOLBWXYHZKQGRETSJ
Xenoblade	SHULKONQWXREPGYZBAVITMFJCD
X01	DARTJPGIYMESCOBNHKXWLUQZFV
Hexrray	MAZEQDIVOTJWXFKSUCNPRGLYBH
XSS	HAXRBGOQSVDUJFPTYEKLNICWMZ
Yankee	YABCDEFGHIJKLMNOPQRSTUVXWZ
Yanky	XUVOBMGFIRCAQHSJYTKEZLNWDP
Yankie	ZDLEAKCSXJBUOPTHRGMFWVIQYN
Yanking	EVFSMRZTOUJPXDGKQINYHCLBWA
